index_column,taxumap1,taxumap2
211126-LD-212.01,41.64009,12.288536
211203-LD-024.16,41.660202,13.608889
211203-LD-024.18,37.966118,22.099833
211203-LD-077.02,41.06196,12.8070545
211203-LD-119.06,38.758533,11.944103
211203-LD-123.26,38.240406,17.42823
211203-LD-123.28,39.49713,16.8439
211203-LD-123.29,40.520756,16.34384
211203-LD-123.31,38.26384,17.576082
211203-LD-123.32,39.28788,16.90661
211203-LD-123.34,38.16109,17.644918
211203-LD-129.12,40.876045,10.650106
211203-LD-129.13,38.62489,11.779275
211203-LD-136.16,38.19562,12.167222
211203-LD-138.09,40.506805,16.7255
211203-LD-138.11,37.932495,21.48725
211203-LD-146.22,37.902325,17.881987
211203-LD-187.14,37.402683,22.201567
211203-LD-191.10,40.5929,15.727583
211203-LD-194.08,41.55349,13.583784
211203-LD-202.04,40.632126,15.119779
211203-LD-202.05,40.449814,16.591328
211203-LD-207.04,40.4959,14.829848
211203-LD-208.08,37.283764,22.867672
211203-LD-208.09,37.31186,23.755196
211203-LD-215.01,41.791103,11.406992
211203-LD-218.01,41.748314,12.263032
211203-LD-221.01,41.875168,13.386895
211203-LD-222.01,36.78959,24.292755
211203-LD-222.03,36.778797,24.349855
211203-LD-222.05,36.846806,24.291325
211203-LD-222.06,37.053165,23.215485
211203-LD-222.07,37.179874,23.908833
211203-LD-224.01,41.881172,12.51612
211203-LD-226.02,41.89107,13.178244
211203-LD-227.01,38.04242,18.007616
211203-LD-227.02,37.964474,17.873722
211203-LD-228.01,40.971493,11.521951
211203-LD-228.03,40.727676,14.9841
211203-LD-228.04,40.39063,13.407728
211203-LD-230.01,37.55502,23.38314
211203-LD-231.02,40.731663,15.027522
211203-LD-231.06,37.9419,17.851154
211203-LD-231.07,40.75497,15.022156
211203-LD-232.01,40.288914,12.282484
211203-LD-233.01,37.11661,23.874142
211203-LD-233.04,37.085743,24.179487
211203-LD-234.01,41.318867,11.429062
211203-LD-234.03,39.34204,16.945608
211203-LD-234.04,40.488472,16.875582
220107-LD-002.03,41.81057,13.4879675
220107-LD-002.05,37.87357,23.257938
220107-LD-002.06,37.822803,23.334694
220107-LD-024.15,40.213093,14.887375
220107-LD-072.15,41.96245,11.93811
220107-LD-110.04,37.619965,23.368141
220107-LD-119.08,38.992523,12.073417
220107-LD-123.36,38.1562,17.649546
220107-LD-123.38,38.175503,17.769337
220107-LD-129.14,38.71382,11.969365
220107-LD-136.18,38.253704,18.304676
220107-LD-136.20,40.497852,15.624265
220107-LD-143.05,41.553505,11.803895
220107-LD-146.25,38.018616,18.782633
220107-LD-146.26,38.027203,18.694454
220107-LD-146.28,37.995228,18.842257
220107-LD-146.29,37.976788,18.826668
220107-LD-180.01,39.563553,12.06727
220107-LD-180.03,40.510548,14.762676
220107-LD-208.10,37.495266,22.65202
220107-LD-211.03,41.75988,12.379557
220107-LD-217.01,41.464783,13.486631
220107-LD-218.03,41.87466,11.047507
220107-LD-218.04,39.96136,13.117912
220107-LD-222.09,42.114742,12.794545
220107-LD-222.11,41.98874,11.380106
220107-LD-228.07,39.87654,18.021152
220107-LD-228.08,39.86206,18.096178
220107-LD-228.09,39.863174,18.20824
220107-LD-228.10,39.84167,18.316076
220107-LD-231.09,40.594166,16.567396
220107-LD-231.11,40.2775,15.953543
220107-LD-233.05,36.999233,24.170424
220107-LD-233.07,37.084137,24.03246
220107-LD-234.05,40.87444,11.372624
220107-LD-234.07,40.850155,11.383632
220107-LD-234.08,37.889538,17.771763
220107-LD-234.10,37.883705,17.700804
220107-LD-235.01,40.4175,16.431349
220107-LD-235.02,40.474636,16.459053
220107-LD-236.01,41.43595,11.38456
220107-LD-236.03,41.415443,11.504026
220107-LD-237.01,39.72565,11.413459
220107-LD-237.03,41.34296,11.247869
220107-LD-238.01,41.06417,11.957296
220107-LD-239.01,41.8419,11.676267
220107-LD-239.03,39.00005,11.533455
220107-LD-239.04,38.409843,22.827793
220107-LD-239.06,41.217068,10.384528
220107-LD-239.07,41.26479,10.304769
220107-LD-241.01,41.14204,11.440684
220107-LD-242.01,41.985188,11.291912
220107-LD-243.01,41.950157,11.974298
220107-LD-244.01,38.093758,18.570503
220107-LD-245.01,41.27607,10.369157
220107-LD-245.03,38.385273,22.230663
220107-LD-246.03,40.94855,11.408558
220107-LD-248.01,41.72847,11.898536
220107-LD-251.01,41.711555,13.18422
220107-LD-252.01,41.691807,13.277997
220107-LD-253.01,41.662174,13.1672735
220207-LD-002.09,37.793274,22.66896
220207-LD-040.02,41.445305,12.178122
220207-LD-042.04,41.758617,12.14824
220207-LD-079.02,38.25352,17.395445
220207-LD-119.10,39.341743,12.113357
220207-LD-129.16,38.486362,11.476724
220207-LD-129.18,41.414375,10.355173
220207-LD-129.20,37.37929,22.748268
220207-LD-136.22,38.648624,12.197
220207-LD-136.24,37.57,21.96546
220207-LD-138.12,41.715397,13.280478
220207-LD-146.31,36.956203,24.246643
220207-LD-149.05,38.399967,11.584632
220207-LD-187.16,40.167713,16.113981
220207-LD-191.11,41.721436,13.380973
220207-LD-191.12,41.58953,13.302489
220207-LD-218.06,41.991756,12.434418
220207-LD-218.08,40.567993,15.748352
220207-LD-234.11,40.00909,16.723654
220207-LD-234.12,39.630978,15.898844
220207-LD-235.04,37.967365,18.899668
220207-LD-235.05,38.045506,17.481993
