index_column,taxumap1,taxumap2
211004-LD-134-04,49.554646,-13.6170635
211004-LD-134.09,46.004288,-14.268251
211004-LD-135-01,57.3142,-10.583742
211004-LD-135-03,56.381466,-10.467389
211004-LD-136-01,44.01801,-10.983772
211004-LD-136-02,43.991215,-10.95827
211004-LD-136-03,44.03159,-11.051445
211004-LD-136-07,43.970802,-10.97822
211004-LD-136.08,44.12155,-10.989026
211004-LD-138-01,45.419407,-13.929122
211004-LD-139-01,44.68317,-14.355066
211004-LD-139.02,44.95213,-14.350606
211004-LD-142.01,45.880863,-14.024808
211004-LD-142.02,45.92633,-14.2248335
211004-LD-144.04,46.295345,-13.551414
211004-LD-145.01,45.33979,-13.212363
211004-LD-149.01,45.020977,-12.092415
211004-LD-152.01,43.962658,-14.573119
211004-MICU-402.02,45.61969,-14.322242
211004-MICU-402.04,45.319767,-14.625035
211004-UC-077-02,56.685516,-10.934221
211004-UC-077-03,49.081387,-13.367849
211025-LD-074.22,48.706676,-13.349721
211025-LD-075.04,48.583916,-13.267825
211025-LD-102.19,55.760303,-11.339481
211025-LD-102.20,56.52753,-10.537534
211025-LD-102.23,57.288216,-10.303533
211025-LD-102.24,57.31057,-10.371452
211025-LD-102.25,57.21418,-10.603605
211025-LD-111.07,49.57912,-13.142772
211025-LD-111.08,54.78685,-11.022638
211025-LD-111.11,44.15561,-14.920166
211025-LD-113.07,44.081028,-12.795876
211025-LD-117.15,56.37512,-10.267869
211025-LD-117.17,56.482487,-10.543102
211025-LD-123.18,49.612717,-13.533612
211025-LD-123.19,49.678417,-13.605439
211025-LD-134.14,49.57921,-13.600262
211025-LD-134.15,49.597725,-13.577788
211025-LD-135.08,43.988613,-14.529262
211025-LD-136.09,43.974022,-10.98626
211025-LD-136.12,44.216976,-11.108464
211025-LD-146.03,45.392166,-12.629988
211025-LD-147.02,46.07146,-13.401901
211025-LD-155.01,56.933846,-10.58816
211025-LD-155.04,56.901794,-10.601601
211025-LD-156.01,49.606075,-13.570152
211025-LD-158.01,46.126675,-12.597552
211025-LD-158.04,49.415092,-13.619264
211025-LD-159.01,47.678432,-13.2899685
211025-LD-162.02,43.965076,-14.73967
211025-LD-164.01,56.824883,-10.290127
211025-UC-077.01,44.35942,-12.627633
211106-LD-092.03,56.609722,-10.203887
211106-LD-111.12,44.99635,-11.805785
211106-LD-113.05,44.51796,-12.2806015
211106-LD-117.18,56.093914,-10.686229
211106-LD-123.23,49.95976,-10.49417
211106-LD-132.18,46.096752,-13.783693
211106-LD-135.05,43.937714,-14.699858
